Provider_Number,Hospital_Name,Address,City,State,ZIP_Code,County_Name,HBIPS-2_Overall_Rate_Per_1000,HBIPS-2_Overall_Num,HBIPS-2_Overall_Den,HBIPS-2_Overall_Footnote,HBIPS-3_Overall_Rate_Per_1000,HBIPS-3_Overall_Num,HBIPS-3_Overall_Den,HBIPS-3_Overall_Footnote,HBIPS-5_Overall_%_of_Total,HBIPS-5_Overall_Num,HBIPS-5_Overall_Den,HBIPS-5_Overall_Footnote,HBIPS-6_Overall_%_of_Total,HBIPS-6_Overall_Num,HBIPS-6_Overall_Den,HBIPS-6_Overall_Footnote,HBIPS-7_Overall_%_of_Total,HBIPS-7_Overall_Num,HBIPS-7_Overall_Den,HBIPS-7_Overall_Footnote,SUB-1_%,SUB-1_Numerator,SUB-1_Denominator,SUB-1_Footnote,TOB-1_%,TOB-1_Numerator,TOB-1_Denominator,TOB-1_Footnote,TOB-2/-2a_Measure_Desc,TOB-2_%,TOB-2_Numerator,TOB-2/-2a_Denominator,TOB-2_Footnote,TOB-2a_%,TOB-2a_Numerator,TOB-2/-2a__Denominator,TOB-2a_Footnote,PEoC_Assessed_Response,PEoC_Assessed_Footnote,EHR_Use_Response,EHR_Use_Footnote,HIE_Response,HIE_Footnote,Start_Date,End_Date,FUH-30_%,FUH-30_Numerator,FUH-30_Denominator,FUH-30_Footnote,FUH-7_%,FUH-7_Numerator,FUH-7_Denominator,FUH-7_Footnote,FUH_Measure_Start_Date,FUH_Measure_End_Date,IMM-2_%,IMM-2_Numerator,IMM-2_Denominator,IMM-2_Footnote,HCP_%,HCP_Numerator,HCP_Denominator,HCP_Footnote,Flu_Season_Start_Date,Flu_Season_End_Date
10040,GADSDEN REGIONAL MEDICAL CENTER,1007 GOODYEAR AVENUE ,GADSDEN,AL,35903,Etowah,0.0,0.0,4165.0,nan,0.0,0,4165,nan,nan,Not Available,Not Available,1.0,90.54,201,222,nan,80.63,179,222,nan,99.66,296,297,nan,100.00,296,296,nan,Tobacco Use Treatment (during the hospital stay),80.43,37,46,nan,Not Available,Not Available,Not Available,1.0,No,nan,Paper or Other Form,nan,No,nan,01/01/2015,12/31/2015,35.90,14,39,nan,Not Available,Not Available,Not Available,1.0,07/01/2014,06/30/2015,100.00,145,145,nan,Not Available,Not Available,Not Available,1.0,10/01/2015,03/31/2016
10046,RIVERVIEW REGIONAL MEDICAL CENTER,600 SOUTH THIRD STREET ,GADSDEN,AL,35901,Etowah,0.0,0.0,1797.0,nan,0.17,7.33,1797,nan,nan,Not Available,Not Available,1.0,92.59,125,135,nan,82.22,111,135,nan,74.22,95,128,nan,96.09,123,128,nan,Tobacco Use Treatment (during the hospital stay),69.57,16,23,nan,Not Available,Not Available,Not Available,1.0,Yes,nan,Paper or Other Form,nan,No,nan,01/01/2015,12/31/2015,58.54,24,41,nan,Not Available,Not Available,Not Available,1.0,07/01/2014,06/30/2015,80.77,63,78,nan,58,350,608,nan,10/01/2015,03/31/2016
10062,WIREGRASS MEDICAL CENTER,1200 W MAPLE AVENUE ,GENEVA,AL,36340,Geneva,0.0,0.0,4500.0,nan,0.0,0,4500,nan,35.9,14,39,nan,100.00,62,62,nan,96.88,62,64,nan,100.00,64,64,nan,100.00,64,64,nan,Tobacco Use Treatment (during the hospital stay),27.59,64,232,nan,0.00,0,232,nan,No,nan,Paper or Other Form,nan,No,nan,01/01/2015,12/31/2015,56.10,23,41,nan,Not Available,Not Available,Not Available,1.0,07/01/2014,06/30/2015,Not Available,Not Available,Not Available,1.0,Not Available,Not Available,Not Available,1.0,10/01/2015,03/31/2016
10069,MEDICAL CENTER BARBOUR,820 W WASHINGTON ST ,EUFAULA,AL,36027,Barbour,0.0,0.0,2355.0,nan,0.0,0,2355,nan,100.0,11,11,nan,100.00,233,233,nan,100.00,233,233,nan,100.00,233,233,nan,100.00,233,233,nan,Tobacco Use Treatment (during the hospital stay),55.79,130,233,nan,44.21,103,233,nan,No,nan,Certified EHR Technology,nan,Yes,nan,01/01/2015,12/31/2015,Not Available,Not Available,Not Available,1.0,Not Available,Not Available,Not Available,1.0,07/01/2014,06/30/2015,100.00,111,111,nan,Not Available,Not Available,Not Available,1.0,10/01/2015,03/31/2016
10078,NORTHEAST ALABAMA REGIONAL MED CENTER,400 EAST 10TH STREET ,ANNISTON,AL,36207,Calhoun,0.06,8.0,5616.0,nan,0.24,32.5,5616,nan,nan,Not Available,Not Available,1.0,99.72,358,359,nan,98.89,355,359,nan,99.77,432,433,nan,96.30,416,432,nan,Tobacco Use Treatment (during the hospital stay),92.27,179,194,nan,Not Available,Not Available,Not Available,1.0,No,nan,Paper or Other Form,nan,No,nan,01/01/2015,12/31/2015,40.00,56,140,nan,22.86,32,140,nan,07/01/2014,06/30/2015,97.89,278,284,nan,73,35,48,nan,10/01/2015,03/31/2016
10085,DECATUR MORGAN HOSPITAL - DECATUR CAMPUS,1201 7TH STREET SE ,DECATUR,AL,35601,Morgan,0.0,0.0,13624.0,nan,0.0,0,13624,nan,nan,Not Available,Not Available,1.0,81.75,681,833,nan,79.23,660,833,nan,96.31,235,244,nan,98.34,237,241,nan,Tobacco Use Treatment (during the hospital stay),0.00,0,114,nan,0.00,0,114,nan,No,nan,Paper or Other Form,nan,No,nan,01/01/2015,12/31/2015,65.91,58,88,nan,42.05,37,88,nan,07/01/2014,06/30/2015,72.66,210,289,nan,63,102,163,nan,10/01/2015,03/31/2016
10086,NORTHWEST MEDICAL CENTER,1530 U S HIGHWAY 43 P O BOX 130,WINFIELD,AL,35594,Fayette,0.0,0.0,2739.0,nan,0.0,0,2739,nan,nan,Not Available,Not Available,1.0,99.00,199,201,nan,99.00,199,201,nan,100.00,189,189,nan,100.00,191,191,nan,Tobacco Use Treatment (during the hospital stay),85.71,36,42,nan,71.43,30,42,nan,No,nan,Paper or Other Form,nan,No,nan,01/01/2015,12/31/2015,42.86,12,28,nan,Not Available,Not Available,Not Available,1.0,07/01/2014,06/30/2015,100.00,89,89,nan,77,92,119,nan,10/01/2015,03/31/2016
10089,WALKER BAPTIST MEDICAL CENTER,3400 HIGHWAY 78 EAST ,JASPER,AL,35502,Walker,0.02,10.23,21734.0,nan,0.0,0,21734,nan,90.0,27,30,nan,94.61,439,464,nan,92.89,431,464,nan,97.50,506,519,nan,98.23,499,508,nan,Tobacco Use Treatment (during the hospital stay),91.51,291,318,nan,66.98,213,318,nan,Yes,nan,Certified EHR Technology,nan,Yes,nan,01/01/2015,12/31/2015,48.21,81,168,nan,27.38,46,168,nan,07/01/2014,06/30/2015,99.16,235,237,nan,75,27,36,nan,10/01/2015,03/31/2016
10091,GROVE HILL MEMORIAL HOSPITAL,295 SOUTH JACKSON ST ,GROVE HILL,AL,36451,Clarke,0.0,0.0,1636.0,nan,0.0,0,1636,nan,nan,Not Available,Not Available,1.0,46.27,62,134,nan,25.37,34,134,nan,94.24,131,139,nan,96.45,136,141,nan,Tobacco Use Treatment (during the hospital stay),57.14,16,28,nan,Not Available,Not Available,Not Available,1.0,No,nan,Certified EHR Technology,nan,No,nan,01/01/2015,12/31/2015,Not Available,Not Available,Not Available,1.0,Not Available,Not Available,Not Available,1.0,07/01/2014,06/30/2015,32.84,22,67,nan,61,17,28,nan,10/01/2015,03/31/2016
10092,D C H REGIONAL MEDICAL CENTER,809 UNIVERSITY BOULEVARD EAST ,TUSCALOOSA,AL,35401,Tuscaloosa,1.62,498.26,12806.0,nan,0.31,94.32,12806,nan,nan,Not Available,Not Available,1.0,92.81,516,556,nan,86.69,482,556,nan,98.14,264,269,nan,99.28,274,276,nan,Tobacco Use Treatment (during the hospital stay),77.61,104,134,nan,61.94,83,134,nan,Yes,nan,Paper or Other Form,nan,No,nan,01/01/2015,12/31/2015,35.80,58,162,nan,18.52,30,162,nan,07/01/2014,06/30/2015,98.43,125,127,nan,53,43,81,nan,10/01/2015,03/31/2016
10101,CITIZENS BMC,604 STONE AVENUE ,TALLADEGA,AL,35160,Talladega,0.21,23.7,4684.0,nan,0.0,0,4684,nan,100.0,11,11,nan,98.18,269,274,nan,97.45,267,274,nan,98.47,258,262,nan,94.44,238,252,nan,Tobacco Use Treatment (during the hospital stay),68.75,33,48,nan,31.25,15,48,nan,Yes,nan,Certified EHR Technology,nan,Yes,nan,01/01/2015,12/31/2015,Not Available,Not Available,Not Available,1.0,Not Available,Not Available,Not Available,1.0,07/01/2014,06/30/2015,100.00,109,109,nan,42,15,36,nan,10/01/2015,03/31/2016
10103,BAPTIST MEDICAL CENTER-PRINCETON,701 PRINCETON AVENUE SOUTHWEST ,BIRMINGHAM,AL,35211,Jefferson,0.0,0.0,28148.0,nan,0.0,0,28148,nan,nan,Not Available,Not Available,1.0,81.23,225,277,nan,75.45,209,277,nan,99.81,536,537,nan,86.81,441,508,nan,Tobacco Use Treatment (during the hospital stay),84.71,72,85,nan,52.94,45,85,nan,Yes,nan,Certified EHR Technology,nan,Yes,nan,01/01/2015,12/31/2015,Not Available,Not Available,Not Available,1.0,Not Available,Not Available,Not Available,1.0,07/01/2014,06/30/2015,75.36,104,138,nan,41,24,58,nan,10/01/2015,03/31/2016
10104,TRINITY MEDICAL CENTER,3690 GRANDVIEW PARKWAY ,BIRMINGHAM,AL,35243,Jefferson,0.12,9.81,3324.0,nan,0.02,1.92,3324,nan,100.0,21,21,nan,100.00,222,222,nan,100.00,222,222,nan,100.00,160,160,nan,100.00,161,161,nan,Tobacco Use Treatment (during the hospital stay),100.00,28,28,nan,42.86,12,28,nan,No,nan,Certified EHR Technology,nan,No,nan,01/01/2015,12/31/2015,Not Available,Not Available,Not Available,1.0,Not Available,Not Available,Not Available,1.0,07/01/2014,06/30/2015,100.00,108,108,nan,79,62,78,nan,10/01/2015,03/31/2016
10109,PICKENS COUNTY MEDICAL CENTER,241 ROBERT K WILSON DRIVE ,CARROLLTON,AL,35447,Pickens,0.0,0.08,2053.0,nan,0.0,0,2053,nan,nan,Not Available,Not Available,1.0,100.00,99,99,nan,81.82,81,99,nan,96.77,30,31,nan,100.00,45,45,nan,Tobacco Use Treatment (during the hospital stay),Not Available,Not Available,Not Available,1.0,Not Available,Not Available,Not Available,1.0,Yes,nan,Paper or Other Form,nan,Yes,nan,01/01/2015,12/31/2015,Not Available,Not Available,Not Available,1.0,Not Available,Not Available,Not Available,1.0,07/01/2014,06/30/2015,100.00,40,40,nan,88,21,24,nan,10/01/2015,03/31/2016
10110,BULLOCK COUNTY HOSPITAL,102 CONECUH AVENUE WEST ,UNION SPRINGS,AL,36089,Bullock,0.0,0.0,4480.0,nan,1.23,132,4480,nan,0.0,0,143,nan,64.04,399,623,nan,58.75,366,623,nan,40.84,243,595,nan,92.77,552,595,nan,Tobacco Use Treatment (during the hospital stay),0.00,0,324,nan,0.00,0,324,nan,No,nan,Paper or Other Form,nan,No,nan,01/01/2015,12/31/2015,30.11,28,93,nan,16.13,15,93,nan,07/01/2014,06/30/2015,72.20,200,277,nan,43,19,44,nan,10/01/2015,03/31/2016
10112,BRYAN W. WHITFIELD MEMORIAL HOSPITAL,105 HIGHWAY 80 EAST ,DEMOPOLIS,AL,36732,Marengo,0.0,0.02,2237.0,nan,0.0,0,2237,nan,nan,Not Available,Not Available,1.0,94.44,136,144,nan,94.44,136,144,nan,91.67,11,12,nan,91.67,11,12,nan,Tobacco Use Treatment (during the hospital stay),Not Available,Not Available,Not Available,1.0,Not Available,Not Available,Not Available,1.0,Yes,nan,Paper or Other Form,nan,No,nan,01/01/2015,12/31/2015,72.22,26,36,nan,47.22,17,36,nan,07/01/2014,06/30/2015,Not Available,Not Available,Not Available,1.0,Not Available,Not Available,Not Available,1.0,10/01/2015,03/31/2016
10113,MOBILE INFIRMARY MEDICAL CENTER,5 MOBILE INFIRMARY CIRCLE ,MOBILE,AL,36607,Mobile,1.22,298.19,10194.0,nan,0.47,115.27,10194,nan,0.0,0,20,nan,5.79,21,363,nan,4.13,15,363,nan,94.74,468,494,nan,99.20,493,497,nan,Tobacco Use Treatment (during the hospital stay),72.73,152,209,nan,32.06,67,209,nan,No,nan,Certified EHR Technology,nan,Yes,nan,01/01/2015,12/31/2015,41.96,47,112,nan,22.32,25,112,nan,07/01/2014,06/30/2015,98.97,289,292,nan,5,56,1052,nan,10/01/2015,03/31/2016
10114,"MEDICAL WEST, AN AFFILIATE OF UAB HEALTH SYSTEM",995 9TH AVENUE SOUTHWEST ,BESSEMER,AL,35022,Jefferson,5.11,620.8,5065.0,nan,0.0,0,5065,nan,43.59,17,39,nan,98.19,435,443,nan,98.19,435,443,nan,98.50,329,334,nan,99.49,390,392,nan,Tobacco Use Treatment (during the hospital stay),72.41,42,58,nan,41.38,24,58,nan,No,nan,Certified EHR Technology,nan,Yes,nan,01/01/2015,12/31/2015,57.69,15,26,nan,Not Available,Not Available,Not Available,1.0,07/01/2014,06/30/2015,91.67,187,204,nan,53,19,36,nan,10/01/2015,03/31/2016
10125,LAKELAND COMMUNITY HOSPITAL,PO BOX 780 ,HALEYVILLE,AL,35565,Winston,0.0,0.0,1363.0,nan,0.0,0,1363,nan,nan,Not Available,Not Available,1.0,100.00,106,106,nan,100.00,106,106,nan,99.01,100,101,nan,100.00,101,101,nan,Tobacco Use Treatment (during the hospital stay),80.00,24,30,nan,56.67,17,30,nan,No,nan,Certified EHR Technology,nan,Yes,nan,01/01/2015,12/31/2015,44.00,11,25,nan,Not Available,Not Available,Not Available,1.0,07/01/2014,06/30/2015,100.00,44,44,nan,88,105,119,nan,10/01/2015,03/31/2016
10129,NORTH BALDWIN INFIRMARY,1815 HAND AVENUE ,BAY MINETTE,AL,36507,Baldwin,0.0,0.0,4275.0,nan,0.04,4.47,4275,nan,nan,Not Available,Not Available,1.0,88.62,257,290,nan,74.48,216,290,nan,99.64,279,280,nan,99.29,278,280,nan,Tobacco Use Treatment (during the hospital stay),Not Available,Not Available,Not Available,1.0,Not Available,Not Available,Not Available,1.0,No,nan,Certified EHR Technology,nan,Yes,nan,01/01/2015,12/31/2015,62.96,17,27,nan,Not Available,Not Available,Not Available,1.0,07/01/2014,06/30/2015,93.33,126,135,nan,84,360,427,nan,10/01/2015,03/31/2016
10139,BROOKWOOD MEDICAL CENTER,2010 BROOKWOOD MEDICAL CENTER DRIVE ,BIRMINGHAM,AL,35209,Jefferson,0.2,162.3,34319.0,nan,0.0,2.92,34319,nan,nan,Not Available,Not Available,1.0,80.57,825,1024,nan,59.18,606,1024,nan,97.61,777,796,nan,99.13,794,801,nan,Tobacco Use Treatment (during the hospital stay),35.94,170,473,nan,31.71,150,473,nan,Yes,nan,Paper or Other Form,nan,No,nan,01/01/2015,12/31/2015,45.45,185,407,nan,20.64,84,407,nan,07/01/2014,06/30/2015,43.35,101,233,nan,64,990,1555,nan,10/01/2015,03/31/2016
10146,RMC JACKSONVILLE,1701 SOUTH PELHAM ROAD ,JACKSONVILLE,AL,36265,Calhoun,0.0,0.0,3052.0,nan,0.0,0,3052,nan,nan,Not Available,Not Available,1.0,96.70,176,182,nan,91.21,166,182,nan,92.31,156,169,nan,100.00,168,168,nan,Tobacco Use Treatment (during the hospital stay),66.67,12,18,nan,61.11,11,18,nan,No,nan,Certified EHR Technology,nan,Yes,nan,01/01/2015,12/31/2015,Not Available,Not Available,Not Available,1.0,Not Available,Not Available,Not Available,1.0,07/01/2014,06/30/2015,96.15,75,78,nan,93,28,30,nan,10/01/2015,03/31/2016
10150,L V STABLER MEMORIAL HOSPITAL,29 L V STABLER DRIVE ,GREENVILLE,AL,36037,Butler,0.0,0.0,2762.0,nan,0.0,0,2762,nan,nan,0,0,7.0,100.00,200,200,nan,100.00,200,200,nan,100.00,204,204,nan,100.00,204,204,nan,Tobacco Use Treatment (during the hospital stay),100.00,24,24,nan,Not Available,Not Available,Not Available,1.0,No,nan,Paper or Other Form,nan,No,nan,01/01/2015,12/31/2015,Not Available,Not Available,Not Available,1.0,Not Available,Not Available,Not Available,1.0,07/01/2014,06/30/2015,100.00,89,89,nan,74,26,35,nan,10/01/2015,03/31/2016
10157,SHOALS HOSPITAL,201 WEST AVALON AVENUE ,MUSCLE SHOALS,AL,35661,Colbert,0.11,12.58,4775.0,nan,0.11,12.58,4775,nan,nan,Not Available,Not Available,1.0,91.73,233,254,nan,89.37,227,254,nan,99.70,335,336,nan,98.51,330,335,nan,Tobacco Use Treatment (during the hospital stay),67.24,39,58,nan,48.28,28,58,nan,Yes,nan,Non-Certified EHR Technology,nan,Yes,nan,01/01/2015,12/31/2015,63.64,35,55,nan,27.27,15,55,nan,07/01/2014,06/30/2015,99.45,180,181,nan,100,48,48,nan,10/01/2015,03/31/2016
10164,COOSA VALLEY MEDICAL CENTER,315 W HICKORY ST ,SYLACAUGA,AL,35150,Talladega,0.0,0.0,4905.0,nan,0.0,0,4905,nan,nan,Not Available,Not Available,1.0,68.66,184,268,nan,68.28,183,268,nan,98.32,234,238,nan,99.58,238,239,nan,Tobacco Use Treatment (during the hospital stay),Not Available,Not Available,Not Available,1.0,Not Available,Not Available,Not Available,1.0,Yes,nan,Paper or Other Form,nan,Yes,nan,01/01/2015,12/31/2015,58.33,14,24,nan,Not Available,Not Available,Not Available,1.0,07/01/2014,06/30/2015,48.67,55,113,nan,75,739,983,nan,10/01/2015,03/31/2016
14000,HILL CREST BEHAVIORAL HEALTH SERVICES,6869 5TH AVENUE SOUTH ,BIRMINGHAM,AL,35212,Jefferson,0.01,6.1,24648.0,nan,0.0,0,24648,nan,100.0,31,31,nan,100.00,554,554,nan,99.82,553,554,nan,100.00,377,377,nan,99.73,376,377,nan,Tobacco Use Treatment (during the hospital stay),100.00,270,270,nan,24.44,66,270,nan,Yes,nan,Paper or Other Form,nan,Yes,nan,01/01/2015,12/31/2015,40.00,16,40,nan,Not Available,Not Available,Not Available,1.0,07/01/2014,06/30/2015,95.22,319,335,nan,53,237,446,nan,10/01/2015,03/31/2016
14006,MOUNTAIN VIEW HOSPITAL,3001 SCENIC HIGHWAY ,GADSDEN,AL,35904,Etowah,0.66,146.5,9209.0,nan,0.02,4.76,9209,nan,nan,Not Available,Not Available,1.0,99.77,869,871,nan,98.16,855,871,nan,Not Available,Not Available,Not Available,7.0,Not Available,Not Available,Not Available,7.0,Tobacco Use Treatment (during the hospital stay),Not Available,Not Available,Not Available,7.0,Not Available,Not Available,Not Available,7.0,No,nan,Paper or Other Form,nan,No,nan,01/01/2015,12/31/2015,47.89,34,71,nan,21.13,15,71,nan,07/01/2014,06/30/2015,Not Available,Not Available,Not Available,7.0,Not Available,Not Available,Not Available,5.0,10/01/2015,03/31/2016
14007,BRYCE HOSPITAL,1651 RUBY TYLER PARKWAY ,TUSCALOOSA,AL,35404,Not Available,0.53,424.62,33624.0,nan,0.07,53.85,33625,nan,90.36,75,83,nan,99.56,226,227,nan,99.56,226,227,nan,96.61,171,177,nan,64.97,115,177,nan,Tobacco Use Treatment (during the hospital stay),70.83,34,48,nan,58.33,28,48,nan,Yes,nan,Paper or Other Form,nan,No,nan,01/01/2015,12/31/2015,Not Available,Not Available,Not Available,1.0,Not Available,Not Available,Not Available,1.0,07/01/2014,06/30/2015,80.36,45,56,nan,62,466,757,nan,10/01/2015,03/31/2016
14012,MARY S HARPER GERIATRIC PSYCHIATRY CENTER,200 UNIVERSITY BLVD ,TUSCALOOSA,AL,35401,Tuscaloosa,0.05,44.32,36567.0,nan,0.09,81.77,36567,nan,100.0,17,17,nan,96.59,255,264,nan,96.59,255,264,nan,98.11,156,159,nan,98.88,177,179,nan,Tobacco Use Treatment (during the hospital stay),83.33,25,30,nan,Not Available,Not Available,Not Available,1.0,Yes,nan,Paper or Other Form,nan,No,nan,01/01/2015,12/31/2015,46.67,21,45,nan,26.67,12,45,nan,07/01/2014,06/30/2015,74.07,60,81,nan,75,228,303,nan,10/01/2015,03/31/2016
